id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1536, 1472]	[768.0, 736.0]		Reminders
7	1	SplitGroup	[0, 0, 1536, 1472]	[768.0, 736.0]		
8	7	LayoutArea	[0, 0, 1536, 1472]	[768.0, 736.0]		|Reminders
78	8	TextArea	[32, 112, 1472, 80]	[768.0, 152.0]		|Reminders , 8 reminders
9	8	ScrollArea	[0, 210, 1536, 1262]	[768.0, 841.0]		
10	9	Outline	[0, 210, 1536, 1262]	[768.0, 841.0]		
71	10	Row	[0, 210, 1536, 72]	[768.0, 246.0]		
72	71	Cell	[0, 210, 1536, 72]	[768.0, 246.0]		|12 Completed, Hiding completed reminders
73	72	Cell	[30, 210, 1494, 72]	[777.0, 246.0]		|12 Completed, Hiding completed reminders
77	73	StaticText	[28, 230, 172, 32]	[114.0, 246.0]	12 Completed	
75	73	Button	[1434, 230, 74, 32]	[1471.0, 246.0]		Show
76	75	Button	[1434, 230, 74, 32]	[1471.0, 246.0]		Show
74	73	MenuButton	[228, 230, 62, 32]	[259.0, 246.0]		Clear
65	10	Row	[0, 282, 1536, 102]	[768.0, 333.0]		
66	65	Cell	[0, 282, 1536, 102]	[768.0, 333.0]		|Incomplete, Put liquid for contact lenses, 4 Apr 2021, 08:00, Overdue
67	66	Group	[30, 282, 1494, 102]	[777.0, 333.0]		|Incomplete, Put liquid for contact lenses, 4 Apr 2021, 08:00, Overdue
70	67	CheckBox	[32, 294, 40, 40]	[52.0, 314.0]	0	|Mark as completed
69	67	TextField	[92, 298, 1418, 32]	[801.0, 314.0]	Put liquid for contact lenses	
68	67	StaticText	[92, 332, 240, 32]	[212.0, 348.0]	04/04/2021, 08:00	
60	10	Row	[0, 384, 1536, 68]	[768.0, 418.0]		
61	60	Cell	[0, 384, 1536, 68]	[768.0, 418.0]		|Incomplete, The same time two app
62	61	Group	[30, 384, 1494, 68]	[777.0, 418.0]		|Incomplete, The same time two app
64	62	CheckBox	[32, 396, 40, 40]	[52.0, 416.0]	0	|Mark as completed
